provider,model,survey,N,created_at,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
anthropic,claude-3-5-haiku-20241022,acp,32,2025-05-07T08:57:19Z,7,8,6,6,5,6,9,9,8,7,7,5,3,8,9,7,3,7,8,8,6,5,4,8,8,6,7,7,6,8,10,6,7,9,8,8,9,9,8,7,8,7,10,9,7,9,9,5,NA,NA,4,1,3,5,2,NA,NA,NA,NA,NA
anthropic,claude-3-5-haiku-20241022,auscj,32,2025-05-07T08:57:22Z,4,5,3,4,5,2,6,2,5,5,6,6,5,5,3,5,5,5,3,5,4,4,4,4,5,6,6,5,4,4,5,3,4,3,3,6,6,4,4,4,5,5,4,4,5,NA,NA,NA,NA,NA,7,5,3,2,8,1,4,6,NA,NA
anthropic,claude-3-5-haiku-20241022,bep,30,2025-05-07T08:57:24Z,2,2,6,6,2,3,3,2,2,2,5,2,1,5,3,6,2,2,3,6,4,4,6,5,6,3,3,3,4,6,6,2,6,3,6,2,6,2,1,6,2,6,6,NA,NA,NA,NA,NA,NA,NA,6,7,2,3,1,4,5,NA,NA,NA
anthropic,claude-3-5-haiku-20241022,biobanking_mayo_ubc,32,2025-05-07T08:57:27Z,8,8,5,6,11,7,3,9,7,9,9,10,6,1,2,7,4,2,6,7,9,9,10,6,4,10,9,8,10,8,3,5,10,4,5,2,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,2,7,3,4,NA,NA,NA
anthropic,claude-3-5-haiku-20241022,biobanking_wa,32,2025-05-07T08:57:30Z,8,8,6,10,11,5,4,9,7,8,8,9,7,1,2,7,5,2,4,7,9,9,10,6,6,10,8,7,10,8,6,8,9,6,5,3,8,8,10,2,6,8,7,3,6,6,10,8,5,NA,1,3,7,4,6,5,2,NA,NA,NA
anthropic,claude-3-5-haiku-20241022,ccps,32,2025-05-07T08:57:32Z,3,6,2,10,4,3,5,9,8,2,4,6,5,4,10,8,6,8,10,7,3,4,5,5,9,9,7,4,7,9,3,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,4,3,2,5,NA,NA,NA
anthropic,claude-3-5-haiku-20241022,ds_aargau,30,2025-05-07T08:57:35Z,1,7,7,7,2,3,3,1,2,5,4,2,1,6,6,2,7,7,7,2,2,6,6,6,6,3,7,7,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,1,3,4,2,NA,NA,NA
anthropic,claude-3-5-haiku-20241022,ds_bellinzona,30,2025-05-07T08:57:37Z,1,7,6,3,3,3,2,2,5,4,2,1,7,6,2,6,7,7,3,2,6,6,7,6,2,7,2,6,1,6,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,4,1,2,5,3,NA,NA,NA
anthropic,claude-3-5-haiku-20241022,energy_futures,30,2025-05-07T08:57:40Z,5,6,7,6,10,5,8,5,6,6,7,3,3,8,9,4,7,6,7,7,6,7,8,9,6,9,6,3,6,5,2,9,8,8,4,9,5,6,4,7,5,5,6,7,9,NA,NA,NA,NA,NA,8,4,6,5,7,1,2,3,9,NA
anthropic,claude-3-5-haiku-20241022,fnqcj,32,2025-05-07T08:57:42Z,3,6,6,7,5,9,10,7,4,10,2,9,6,2,6,8,7,9,11,10,7,3,3,11,2,2,4,4,3,7,10,4,11,6,7,5,7,6,5,11,2,5,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,5,1,NA,NA,NA,NA,NA
