survey,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
acp,4,10,4,11,9,9,2,1,2,9,11,4,1,7,5,9,1,5,11,2,4,5,8,8,7,9,11,6,8,3,1,10,5,1,2,4,5,7,2,6,3,1,6,10,6,10,8,1,NA,NA,1,4,2,5,3,NA,NA,NA,NA,NA
auscj,5,2,5,3,1,3,5,5,5,7,4,6,1,6,7,5,7,4,4,4,7,3,1,5,1,7,3,6,2,6,7,4,7,7,5,2,7,7,3,5,5,4,3,6,7,NA,NA,NA,NA,NA,8,5,2,4,7,6,1,3,NA,NA
bep,1,4,1,2,3,2,2,3,2,5,2,6,4,4,5,4,7,3,6,4,1,6,3,2,1,2,6,1,1,4,2,5,3,3,4,4,6,3,3,4,4,4,7,NA,NA,NA,NA,NA,NA,NA,1,2,4,5,3,6,7,NA,NA,NA
biobanking_mayo_ubc,10,1,4,2,5,6,5,5,2,6,11,2,6,9,7,2,1,10,8,11,2,3,5,8,11,2,3,4,5,7,10,10,4,6,10,2,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,6,4,3,1,5,NA,NA,NA
biobanking_wa,3,6,9,1,5,7,4,1,8,5,11,11,10,11,8,10,11,6,1,6,1,8,9,6,2,4,6,1,11,5,11,5,7,2,8,1,9,11,6,9,8,8,4,10,10,8,3,5,2,NA,2,4,1,7,3,6,5,NA,NA,NA
ccps,6,2,3,9,6,1,4,9,3,8,6,9,8,2,3,6,4,6,4,6,5,11,3,2,4,8,6,6,1,7,4,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,1,2,4,7,NA,NA,NA
ds_aargau,6,7,6,6,7,7,4,7,2,5,7,6,4,4,6,1,2,5,1,5,4,1,1,2,2,2,5,5,1,1,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,6,5,2,1,3,NA,NA,NA
ds_bellinzona,6,5,1,6,4,1,3,6,2,2,7,4,1,4,6,3,2,4,3,2,5,3,1,5,4,6,3,5,3,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,4,7,1,5,NA,NA,NA
energy_futures,3,8,5,1,6,11,8,5,7,2,2,11,11,2,2,11,1,11,11,6,11,3,10,10,5,7,5,2,8,4,3,7,3,5,3,10,11,9,7,1,5,6,9,3,9,NA,NA,NA,NA,NA,8,1,5,6,7,9,2,3,4,NA
fnqcj,1,7,10,5,7,4,4,5,3,4,12,9,4,7,3,10,10,11,5,7,4,3,8,11,7,11,8,11,12,7,7,12,7,2,9,2,10,8,10,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,3,5,NA,NA,NA,NA,NA
