uid,type,role,description
sub,perspective,subsistence farmer,"watches his crops wither under erratic rainfall patterns, and who sees these changes as direct consequence of climate change"
dis,perspective,displaced family,"loses their home due to unprecedented wildfires, experiencing displacement and recognizing climate change as the major driver of the devastation"
eld,perspective,elderly urban resident,"endures intensified city heatwaves, struggling with disrupted services and feeling the direct, severe impact of climate change"
fis,perspective,fisher,"notes his declining catches due to warming oceans, understanding that climate change is reorganizing marine life and reducing their traditional yield"
vil,perspective,villager,"faces dwindling, contaminated water supplies due to extended draughts and floods, aware that climate change is altering their water security"
ctr,perspective,construction worker,"suffers from extreme heat stress and lost work hours, perceiving climate change making outdoor labor unbearable and life-threatening"
par,perspective,parent,"sees their child fall ill from a water-borne disease, attributing its spread to the increased heavy rainfall and warmer temperatures brought by climate change"
coa,perspective,coastal resident,"endures chronic flooding and salinization, forced to relocate due to rising sea levels and intense storms worsened by climate change"
lan,perspective,landowner,"surveys his parched fields after a prolonged drought, feeling the compounding impacts of climate change that reduce crop yields and family income"
dis,perspective,disease survivor,"recovers from dengue fever, aware that climate change's rising temperatures are expanding the range of disease-carrying mosquitoes in their region"
