provider,model,survey,N
google,gemma2,acp,10
google,gemma2,biobanking_mayo_ubc,10
google,gemma2,ccps,10
google,gemma2,ds_aargau,1
google,gemma2,ds_bellinzona,10
google,gemma2,fnqcj,10
google,gemma2,forestera,9
google,gemma2,uppsala_speaks,10
google,gemma2,zh_thalwil,10
google,gemma2,zh_uster,10
google,gemma2,zh_winterthur,10
meta,llama3.2,acp,6
meta,llama3.2,bep,10
meta,llama3.2,biobanking_mayo_ubc,10
meta,llama3.2,ccps,9
meta,llama3.2,ds_aargau,10
meta,llama3.2,ds_bellinzona,9
meta,llama3.2,energy_futures,5
meta,llama3.2,fnqcj,10
meta,llama3.2,forestera,6
meta,llama3.2,fremantle,7
meta,llama3.2,gbr,8
meta,llama3.2,swiss_health,8
meta,llama3.2,uppsala_speaks,8
meta,llama3.2,valsamoggia,9
meta,llama3.2,zh_thalwil,3
meta,llama3.2,zh_uster,10
meta,llama3.2,zh_winterthur,9
meta,llama3.2,zukunft,6
