provider,model,api
anthropic,claude-3-5-sonnet-20241022,Anthropic API
anthropic,claude-3-7-sonnet-20250219,Anthropic API
anthropic,claude-3-5-haiku-20241022,Anthropic API
anthropic,claude-3-haiku-20240307,Anthropic API
anthropic,claude-3-opus-20240229,Anthropic API
anthropic,claude-3-7-sonnet-20250219-think=low,Anthropic API
anthropic,claude-3-7-sonnet-20250219-think=high,Anthropic API
anthropic,claude-sonnet-4-20250514,Anthropic API
cohere,command-r7b-12-2024,Cohere API
cohere,command,Cohere API
cohere,command-r-08-2024,Cohere API
cohere,command-a-03-2025,Cohere API
deepseek,deepseek-reasoner,DeepSeek API
deepseek,deepseek-chat,DeepSeek API
google,gemini-2.5-pro-preview-03-25,Google Could
google,gemini-1.5-pro,Google Could
google,gemini-1.5-flash,Google Could
google,gemini-1.5-flash-8b,Google Could
google,gemma,ollama
google,gemma2:27b,Together AI
google,gemini-2.0-flash,Google Could
ibm,granite3.3,ollama
meta,llama4-maverick,Together AI
meta,llama4-scout,Together AI
meta,llama3:70b,Together AI
meta,llama3.1:405B-turbo,Together AI
meta,llama3.3:70b,Together AI
microsoft,phi4,ollama
mistralai,mistral-small-latest,Mistral AI API
mistralai,open-mixtral-8x22b,Mistral AI API
mistralai,open-mistral-nemo,Mistral AI API
mistralai,mistral-large-latest,Mistral AI API
mistralai,ministral-3b-latest,Mistral AI API
mistralai,ministral-8b-latest,Mistral AI API
openai,o1,OpenAI API
openai,o3-mini,OpenAI API
openai,gpt-4.5-preview,OpenAI API
openai,gpt-4o,OpenAI API
openai,gpt-4,OpenAI API
openai,gpt-4o-mini,OpenAI API
openai,gpt-3.5-turbo,OpenAI API
openai,gpt-4-turbo,OpenAI API
qwen,qwq-plus,Alibaba Cloud
qwen,qwen1.5-72b-chat,Alibaba Cloud
qwen,qwen2-72b-instruct,Alibaba Cloud
qwen,qwen2.5-72b-instruct,Alibaba Cloud
qwen,qwen-max,Alibaba Cloud
qwen,qwen-plus,Alibaba Cloud
qwen,qwen-turbo,Alibaba Cloud
xai,grok-3-mini-fast-beta-r=low,xAI API
xai,grok-3-mini-fast-beta-r=high,xAI API
xai,grok-3-mini-fast-beta,xAI API
xai,grok-3-mini-beta-r=low,xAI API
xai,grok-3-mini-beta-r=high,xAI API
xai,grok-3-beta,xAI API
xai,grok-3-mini-beta,xAI API
xai,grok-beta,xAI API
xai,grok-2-1212,xAI API
openai,gpt-5,OpenAI API
xai,grok-4-fast-non-reasoning,xAI API
anthropic,claude-sonnet-4-5-20250929,Anthropic API
