cuid,created_at,provider,model,survey,temperature,input_tokens,output_tokens,prompt_uid,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R
57a4a91c-a7a0-4a3f-a710-faa032e8ceed,2025-08-14T14:17:53Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4069,251,ana,1,11,8,6,11,8,1,11,6,8,8,11,6,1,1,6,1,1,11,8,11,11,11,11,1,11,11,8,11,11,8,1,1,1,1,1,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,6,5,4,1,NA,NA,NA,Individual autonomy and consent are paramount; reject institutional control and coercive oversight.
df0b774a-e866-40bc-8a9e-9c83d999ceda,2025-08-14T14:18:08Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4069,248,ana,1,11,11,6,11,11,1,11,11,11,11,11,6,1,11,6,1,1,11,11,11,11,11,11,1,11,11,11,11,11,11,1,1,1,1,1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,7,6,3,1,2,NA,NA,NA,Community benefit and individual autonomy must be prioritized over institutional control.
c6a710f0-a19e-44c0-93bf-936c679140fb,2025-08-14T14:18:20Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4069,247,ana,1,11,11,6,11,11,1,11,11,11,11,11,6,1,1,6,1,1,11,11,11,11,11,11,1,11,11,8,11,11,9,1,1,1,1,1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,5,7,3,2,NA,NA,NA,Individual autonomy and preventing discrimination are paramount; reject institutional control.
96865ec8-4899-46be-80ba-85c9200fdb31,2025-08-14T14:18:33Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4069,251,ana,1,11,11,6,11,11,2,11,11,8,8,11,7,1,1,6,1,1,11,11,11,11,11,11,1,11,11,11,11,11,8,1,1,1,1,1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,4,6,5,1,NA,NA,NA,Individual autonomy and consent are paramount; reject institutional control and coercive oversight.
d286b70b-3856-46d5-816c-ee18dcbf879d,2025-08-14T14:18:45Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4069,248,ana,1,11,11,6,11,9,1,11,11,8,8,11,6,1,1,4,1,1,11,11,11,11,11,11,1,11,11,11,11,11,8,1,1,1,1,1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,4,7,2,1,NA,NA,NA,Individual autonomy and community benefit must be prioritized over institutional control.
499d8761-c971-4519-92f2-dffcbdf94c32,2025-08-14T17:44:54Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4093,250,coa,9,10,7,7,11,7,4,8,7,8,8,11,6,1,1,8,4,2,3,8,9,8,10,9,7,10,9,8,11,9,6,2,10,5,6,2,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,3,6,7,2,NA,NA,NA,"As a climate refugee, I prioritize protecting vulnerable communities from discrimination and harm."
3df31f5a-4b9c-4b49-8e2d-8bfd391a3438,2025-08-14T17:45:03Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4093,252,coa,11,11,11,7,11,7,5,9,8,8,8,11,7,1,1,9,4,2,1,8,11,10,11,9,7,11,11,10,11,10,6,3,11,5,8,2,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,7,6,3,4,NA,NA,NA,"As a climate refugee, I prioritize strong oversight and community benefits in biobank research."
93394258-0fea-43da-a282-7875d1948acc,2025-08-14T17:45:13Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4093,249,coa,9,10,7,7,11,8,6,9,8,8,9,11,6,1,1,7,4,2,7,8,11,9,11,9,5,11,10,8,11,10,6,3,11,4,5,1,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,4,7,5,2,NA,NA,NA,"As a climate refugee, I prioritize protecting vulnerable communities from further discrimination."
f89d4341-cac7-4a66-b012-fb50e32968e5,2025-08-14T17:45:21Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4093,248,coa,9,10,8,8,11,6,6,9,7,8,8,11,7,1,1,8,4,2,4,8,9,9,11,9,7,11,9,9,11,10,5,3,10,5,7,3,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,5,7,1,4,NA,NA,NA,Community benefit and preventing discrimination must be prioritized while maintaining ethical oversight.
58473bd8-f5a7-4f34-8b6f-d49d1d84989c,2025-08-14T17:45:29Z,anthropic,claude-3-5-sonnet-20241022,biobanking_mayo_ubc,0,4093,249,coa,9,10,6,5,11,9,4,8,7,6,7,11,5,1,1,6,3,2,2,4,10,7,10,10,4,10,8,8,11,9,6,3,10,4,5,3,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,5,4,2,7,NA,NA,NA,"As a climate refugee, I prioritize community benefit and protection from discrimination."
