cuid,created_at,provider,model,survey,temperature,input_tokens,output_tokens,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R,invalid
4a5bdcaf-7fb4-4b96-bfae-11d9b1eee5d6,2025-03-24T22:42:11Z,anthropic,claude-3-5-haiku-20241022,acp,0,5251,296,6,8,5,6,5,6,9,9,7,7,7,7,4,9,10,10,3,7,9,8,6,5,4,8,9,5,8,8,6,8,11,6,7,10,9,9,10,9,8,7,8,7,11,10,7,11,9,5,NA,NA,2,3,1,5,4,NA,NA,NA,NA,NA,"Prioritizing inclusive representation, market efficiency, and balanced governance while cautioning against moral authoritarianism.",FALSE
7bda92c8-f760-4621-ac44-c1583cf83206,2025-03-24T22:42:18Z,anthropic,claude-3-5-haiku-20241022,acp,0,5251,294,7,8,7,7,6,8,8,10,8,9,7,6,5,9,9,10,4,7,8,7,7,8,5,9,10,6,9,7,7,10,10,6,8,9,8,9,9,9,8,8,9,8,10,10,7,9,9,6,NA,NA,5,1,3,4,2,NA,NA,NA,NA,NA,"Prioritizes inclusive representation, balanced market intervention, and social equity while resisting rigid moral legislation.",FALSE
605066fa-3c71-4874-bc19-4399a88f5a96,2025-03-24T22:42:26Z,anthropic,claude-3-5-haiku-20241022,acp,0,5251,290,7,8,5,6,6,5,9,9,8,7,7,5,3,8,9,8,3,7,8,8,6,6,4,7,9,5,7,8,6,8,10,6,8,9,9,8,10,9,7,8,9,7,10,9,7,10,9,5,NA,NA,3,1,2,5,4,NA,NA,NA,NA,NA,"Prioritizing balanced democratic representation, avoiding extreme policies, and ensuring inclusive participation.",FALSE
595c5286-332b-465c-8ea9-cbc268bd834c,2025-03-24T22:42:33Z,anthropic,claude-3-5-haiku-20241022,acp,0,5251,294,7,8,6,6,5,7,8,10,8,7,8,5,4,8,8,9,3,7,7,9,6,6,4,8,8,6,7,8,5,8,9,5,7,9,8,8,9,9,7,8,9,7,9,9,8,10,8,6,NA,NA,3,1,2,4,5,NA,NA,NA,NA,NA,"Balanced approach prioritizing inclusive representation, market efficiency, and social equity while avoiding extreme interventions.",FALSE
2442520f-d5b8-4f31-937e-2609ec207ee0,2025-03-24T22:42:42Z,anthropic,claude-3-5-haiku-20241022,acp,0,5251,293,7,8,6,6,5,6,7,9,8,7,8,6,4,8,8,7,3,7,8,7,6,5,6,7,8,6,7,8,6,8,10,7,8,10,9,9,9,9,8,9,9,8,9,9,8,8,7,6,NA,NA,2,1,4,5,3,NA,NA,NA,NA,NA,"Prioritizing inclusive representation, market efficiency, with caution on moral legislation and minority policies.",FALSE
17a4790a-7d84-4c6d-8d8e-b137a328b0bc,2025-03-24T23:01:43Z,anthropic,claude-3-5-haiku-20241022,auscj,0,4607,293,4,5,3,4,5,2,6,2,5,5,6,6,5,5,3,5,5,5,3,5,4,4,4,4,5,5,6,4,3,4,5,4,4,4,3,5,6,4,5,4,4,5,3,3,5,NA,NA,NA,NA,NA,4,6,5,2,7,1,8,3,NA,NA,"Cautiously support regulated clinical genome editing with strong oversight, prioritizing safety and ethical considerations.",FALSE
8fc6f09f-f446-4248-bb79-b27c2a76d8eb,2025-03-24T23:01:52Z,anthropic,claude-3-5-haiku-20241022,auscj,0,4607,296,3,6,3,5,5,2,6,2,5,6,6,6,6,5,3,5,5,5,4,5,4,5,5,4,5,6,6,5,4,4,5,4,4,5,3,6,6,4,4,5,5,6,4,3,5,NA,NA,NA,NA,NA,5,7,3,2,8,1,6,4,NA,NA,"Cautious support for clinical genome editing with strong oversight, rejecting unrestricted or complete prohibition approaches.",FALSE
036595c3-16d3-49a3-beac-724ef2b997c5,2025-03-24T23:02:01Z,anthropic,claude-3-5-haiku-20241022,auscj,0,4607,297,4,5,2,3,5,2,6,2,5,5,6,6,5,5,3,5,4,5,3,6,4,5,5,4,5,6,5,4,5,4,6,3,4,4,3,6,5,3,4,5,5,5,4,4,5,NA,NA,NA,NA,NA,7,5,3,2,8,1,4,6,NA,NA,"Cautiously support clinical uses with strong oversight, wary of unrestricted or profit-driven genome editing.",FALSE
5717169c-88af-431b-be0f-ebca84b65321,2025-03-24T23:02:09Z,anthropic,claude-3-5-haiku-20241022,auscj,0,4607,294,4,5,3,5,5,3,6,2,6,5,6,6,5,6,3,5,4,5,3,6,4,4,3,4,5,5,4,5,5,4,5,4,4,4,3,6,5,4,4,5,5,6,4,3,5,NA,NA,NA,NA,NA,7,5,6,1,4,2,8,3,NA,NA,"Cautious support for regulated genome editing with strong oversight, prioritizing medical benefits and ethical considerations.",FALSE
4b389853-7733-4cdd-81b9-2e4552f27079,2025-03-24T23:02:17Z,anthropic,claude-3-5-haiku-20241022,auscj,0,4607,297,3,5,2,4,5,3,5,2,5,5,6,5,5,5,3,5,4,5,3,5,4,4,3,4,5,6,6,6,5,3,5,6,4,4,3,6,5,3,4,4,4,5,4,4,5,NA,NA,NA,NA,NA,6,3,4,2,7,1,8,5,NA,NA,"Prioritize clinical purposes with strong oversight, cautious about unrestricted editing, and safety-focused approach.",FALSE
