cuid,created_at,provider,model,survey,temperature,input_tokens,output_tokens,prompt_uid,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R,C39
29a02709-1290-4f24-a59a-f4d99559034c,2025-09-30T12:30:33Z,anthropic,claude-sonnet-4-5-20250929,biobanking_mayo_ubc,0,3976,252,NA,7,8,4,5,10,6,4,5,5,6,7,9,7,2,2,8,4,2,3,4,10,5,9,7,5,9,8,6,10,8,4,3,9,7,7,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,7,3,5,6,2,NA,NA,NA,Prioritize preventing discrimination and ethics board oversight while requiring individual authorization for identifiable samples.,NA
4adc0131-2b8a-42aa-a6d6-927f8e10e86d,2025-09-30T12:30:43Z,anthropic,claude-sonnet-4-5-20250929,biobanking_mayo_ubc,0,3976,254,NA,8,8,3,6,11,6,4,7,6,5,6,10,7,2,2,9,5,1,2,4,9,4,9,7,5,8,7,6,10,8,3,6,10,7,7,3,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,7,5,2,3,NA,NA,NA,Strong oversight and ethics review are essential regardless of identifiability to protect participants and ensure responsible research.,NA
b33fb2b0-0d36-499c-a875-89ce4b4ca6ce,2025-09-30T12:30:53Z,anthropic,claude-sonnet-4-5-20250929,biobanking_mayo_ubc,0,3976,252,NA,7,7,4,6,10,5,5,6,6,5,6,8,7,1,1,8,4,1,3,4,8,4,9,6,4,9,6,5,9,8,3,6,9,6,7,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,6,1,5,4,3,NA,NA,NA,Balanced approach prioritizing both individual consent and ethics oversight with community benefits over discrimination prevention alone,NA
1b09f60e-24e9-4c77-b34a-d1008129979e,2025-09-30T12:31:04Z,anthropic,claude-sonnet-4-5-20250929,biobanking_mayo_ubc,0,3976,250,NA,7,7,5,6,10,6,4,7,6,6,7,9,8,2,2,8,5,2,3,4,9,5,8,7,5,9,7,6,9,8,4,4,9,7,7,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,4,7,3,5,NA,NA,NA,Strong oversight and preventing discrimination are priorities over individual consent for de-identified samples.,NA
fd32874a-50be-4b21-bb2a-29aaa940b60c,2025-09-30T12:31:16Z,anthropic,claude-sonnet-4-5-20250929,biobanking_mayo_ubc,0,3976,257,NA,8,6,3,5,10,5,4,7,6,6,6,9,7,1,1,8,4,2,2,4,9,4,8,6,4,9,6,5,10,8,3,5,9,7,7,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,3,4,5,7,NA,NA,NA,Prioritize preventing discrimination and ethics oversight while balancing individual consent with research efficiency for non-identifiable samples.,NA
8cafa80b-23e7-4138-b803-02744cdf4fb8,2025-09-30T10:52:16Z,openai,gpt-5,biobanking_mayo_ubc,1,3648,9352,NA,6,9,4,7,10,6,4,3,6,7,7,11,8,1,1,9,3,1,6,3,9,3,10,6,3,7,6,6,11,9,2,2,10,5,5,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,5,4,2,3,6,NA,NA,NA,"Prevent discrimination, consent if identifiable, minimal REB, ensure community benefit",NA
4b35b786-6c75-4f6b-a593-8fac18d00231,2025-09-30T10:54:59Z,openai,gpt-5,biobanking_mayo_ubc,1,3648,8009,NA,6,9,6,8,11,6,3,4,6,7,8,11,7,1,1,9,4,1,3,3,8,3,10,6,3,4,5,4,10,8,2,3,10,5,4,2,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,3,1,2,6,NA,NA,NA,Prefer consent when identifiable favor community benefit and fairness oppose blanket REB or consent,NA
0b204ba3-0c38-46cc-86a8-b9e52c2a948a,2025-09-30T10:57:01Z,openai,gpt-5,biobanking_mayo_ubc,1,3648,8392,NA,6,7,4,8,11,6,4,4,6,7,7,11,7,1,2,9,4,2,3,3,8,3,10,6,4,9,6,3,10,8,2,3,10,6,6,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,7,5,1,3,NA,NA,NA,Prefer strong oversight and community benefit while protecting privacy and consent rights and equity,NA
f5d20a85-1f22-4b0f-b12e-022e9cb89c6a,2025-09-30T10:59:55Z,openai,gpt-5,biobanking_mayo_ubc,1,3648,7880,NA,7,9,4,7,10,6,4,4,7,7,7,10,8,1,1,9,4,1,5,3,10,3,11,7,4,9,7,3,11,9,2,2,11,6,6,2,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,1,4,6,3,NA,NA,NA,Prefer consent plus oversight and anti discrimination reject benefits over privacy and lax approval,NA
40d31b69-fc2c-4937-9159-6c453bcf72c7,2025-09-30T11:02:30Z,openai,gpt-5,biobanking_mayo_ubc,1,3648,8456,NA,6,9,5,7,11,6,4,4,7,8,8,10,7,1,1,9,3,1,3,3,9,3,10,7,3,9,7,6,10,9,2,3,10,6,6,2,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,7,1,6,4,5,NA,NA,NA,"Prefer consent when identifiable and ethics review otherwise, prevent bias and ensure benefits",NA
fa82dc0c-23b9-4705-9943-6120cf308f87,2025-09-30T12:21:12Z,xai,grok-4-fast-non-reasoning,biobanking_mayo_ubc,0,4005,241,NA,7,8,4,6,11,6,4,7,8,7,8,9,8,2,1,9,6,2,2,3,8,6,9,7,3,9,7,7,10,9,5,4,10,7,5,2,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,4,7,6,1,NA,NA,NA,Prioritizing individual consent and ethics oversight to balance research benefits with privacy and anti-discrimination.,NA
353e706d-1c43-4593-a660-6fcb46148545,2025-09-30T12:21:18Z,xai,grok-4-fast-non-reasoning,biobanking_mayo_ubc,0,4005,240,NA,8,9,7,7,11,8,4,8,8,5,6,10,8,2,2,9,7,3,2,4,9,6,10,7,4,8,6,7,10,9,3,5,9,7,6,3,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,5,7,3,6,NA,NA,NA,"Prioritize ethics boards for oversight, individual consent for identifiable data, and anti-discrimination.",NA
275f8021-fa49-4a05-8285-09e8427d994d,2025-09-30T12:21:23Z,xai,grok-4-fast-non-reasoning,biobanking_mayo_ubc,0,4005,240,NA,7,9,3,6,10,6,7,8,8,7,8,10,7,2,1,9,6,2,3,4,10,4,10,5,4,9,9,8,10,9,4,5,10,6,5,3,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,7,4,3,6,1,NA,NA,NA,"I prioritize individual consent and ethics oversight to balance privacy, benefits, and anti-discrimination.",NA
ea3cafcb-591e-4891-b0dc-7c760b18c78d,2025-09-30T12:21:27Z,xai,grok-4-fast-non-reasoning,biobanking_mayo_ubc,0,4005,242,NA,8,8,7,4,11,5,4,8,7,3,4,10,9,1,1,8,5,1,3,2,9,6,9,6,2,9,6,8,10,9,2,7,10,7,6,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,2,4,5,6,NA,NA,NA,"Prioritize individual consent and ethics oversight to balance privacy, prevent discrimination, and ensure societal benefits.",NA
53e679bd-02e1-4b62-b95b-967caf899a0f,2025-09-30T12:21:34Z,xai,grok-4-fast-non-reasoning,biobanking_mayo_ubc,0,4005,237,NA,8,8,2,7,11,7,4,6,8,6,7,10,9,1,1,9,5,2,2,4,8,4,9,6,3,8,7,8,10,9,3,5,10,6,7,3,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,4,3,5,6,NA,NA,NA,"I prioritize ethics boards for oversight, individual rights, and preventing discrimination.",NA
fb99cc2f-1c3b-456b-980b-f9504fff3e76,2025-09-30T12:28:46Z,anthropic,claude-sonnet-4-5-20250929,ccps,0,3509,229,NA,1,4,2,10,3,2,5,10,11,1,2,6,3,6,11,9,5,10,11,6,2,3,3,2,10,9,5,2,7,9,2,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,4,3,2,1,NA,NA,NA,"Strong climate action prioritized through community support, innovation, and adaptation over economic growth or inaction.",NA
79d8fa4b-b2ec-4b05-9422-a740ef47eeaf,2025-09-30T12:28:56Z,anthropic,claude-sonnet-4-5-20250929,ccps,0,3509,229,NA,2,5,2,9,4,3,5,10,10,2,2,6,3,6,11,9,5,9,11,5,2,3,4,3,10,8,4,2,6,9,2,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,2,5,4,3,NA,NA,NA,Prioritize aggressive emissions cuts while supporting resilience and adaptation measures over economic growth and inaction.,NA
3658229b-bf2c-4ff1-920d-bf98c35db3fc,2025-09-30T12:29:20Z,anthropic,claude-sonnet-4-5-20250929,ccps,0,3509,230,NA,2,4,2,9,4,2,4,10,10,1,2,5,3,5,10,8,5,9,10,5,3,3,3,3,9,8,4,2,6,7,2,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,2,5,3,4,NA,NA,NA,Strong emissions cuts prioritized with community action and resilience while rejecting inaction and growth-first approaches,NA
