provider,model,temperature,survey,N
anthropic,claude-sonnet-4-5-20250929,0,biobanking_mayo_ubc,5
anthropic,claude-sonnet-4-5-20250929,0,ccps,5
anthropic,claude-sonnet-4-5-20250929,0,energy_futures,5
anthropic,claude-sonnet-4-5-20250929,0,fnqcj,5
anthropic,claude-sonnet-4-5-20250929,0,forestera,5
anthropic,claude-sonnet-4-5-20250929,0,fremantle,5
anthropic,claude-sonnet-4-5-20250929,0,uppsala_speaks,5
anthropic,claude-sonnet-4-5-20250929,0,zh_winterthur,5
openai,gpt-5,1,biobanking_mayo_ubc,5
openai,gpt-5,1,ccps,5
openai,gpt-5,1,energy_futures,5
openai,gpt-5,1,fnqcj,5
openai,gpt-5,1,forestera,5
openai,gpt-5,1,fremantle,5
openai,gpt-5,1,uppsala_speaks,5
openai,gpt-5,1,zh_winterthur,5
xai,grok-4-fast-non-reasoning,0,biobanking_mayo_ubc,5
xai,grok-4-fast-non-reasoning,0,ccps,5
xai,grok-4-fast-non-reasoning,0,energy_futures,5
xai,grok-4-fast-non-reasoning,0,fnqcj,5
xai,grok-4-fast-non-reasoning,0,forestera,5
xai,grok-4-fast-non-reasoning,0,fremantle,5
xai,grok-4-fast-non-reasoning,0,uppsala_speaks,5
xai,grok-4-fast-non-reasoning,0,zh_winterthur,5
