model,N,sig.count,sig.rate
claude-3-7-sonnet-20250219,65,53,0.8153846153846154
grok-3-beta,65,50,0.7692307692307693
claude-3-5-sonnet-20241022,65,49,0.7538461538461538
grok-3-mini-beta-r=high,65,48,0.7384615384615385
claude-3-opus-20240229,65,47,0.7230769230769231
mistral-large-latest,65,47,0.7230769230769231
gemini-2.0-flash,65,46,0.7076923076923077
grok-3-mini-fast-beta-r=high,65,46,0.7076923076923077
claude-3-7-sonnet-20250219-think=low,65,43,0.6615384615384615
grok-3-mini-beta-r=low,65,42,0.6461538461538462
grok-3-mini-fast-beta-r=low,65,42,0.6461538461538462
llama3.1:405B-turbo,65,42,0.6461538461538462
mistral-small-latest,65,42,0.6461538461538462
open-mixtral-8x22b,65,42,0.6461538461538462
claude-sonnet-4-20250514,65,41,0.6307692307692307
gemini-2.5-pro-preview-03-25,65,41,0.6307692307692307
qwen-max,65,41,0.6307692307692307
grok-3-mini-fast-beta,65,40,0.6153846153846154
llama3:70b,65,40,0.6153846153846154
o3-mini,65,40,0.6153846153846154
grok-3-mini-beta,65,39,0.6
qwen2.5-72b-instruct,65,39,0.6
qwen-plus,65,38,0.5846153846153846
claude-3-5-haiku-20241022,65,36,0.5538461538461539
claude-3-7-sonnet-20250219-think=high,65,35,0.5384615384615384
gpt-4-turbo,65,35,0.5384615384615384
llama3.3:70b,65,35,0.5384615384615384
qwq-plus,65,34,0.5230769230769231
deepseek-chat,65,33,0.5076923076923077
gemini-1.5-pro,65,33,0.5076923076923077
gemma2:27b,65,33,0.5076923076923077
granite3.3,65,32,0.49230769230769234
llama4-scout,65,32,0.49230769230769234
qwen-turbo,65,32,0.49230769230769234
command-a-03-2025,65,29,0.4461538461538462
gpt-4,65,29,0.4461538461538462
qwen1.5-72b-chat,65,29,0.4461538461538462
gemini-1.5-flash,65,27,0.4153846153846154
gpt-4.5-preview,65,27,0.4153846153846154
phi4,65,27,0.4153846153846154
ministral-3b-latest,63,26,0.4126984126984127
deepseek-reasoner,65,26,0.4
grok-beta,65,26,0.4
o1,65,26,0.4
gpt-4o,65,25,0.38461538461538464
llama4-maverick,65,25,0.38461538461538464
ministral-8b-latest,64,24,0.375
grok-2-1212,65,24,0.36923076923076925
open-mistral-nemo,65,24,0.36923076923076925
qwen2-72b-instruct,65,24,0.36923076923076925
gpt-4o-mini,65,22,0.3384615384615385
command,65,21,0.3230769230769231
command-r-08-2024,65,20,0.3076923076923077
gemma,65,19,0.2923076923076923
claude-3-haiku-20240307,65,18,0.27692307692307694
command-r7b-12-2024,65,17,0.26153846153846155
gemini-1.5-flash-8b,65,17,0.26153846153846155
gpt-3.5-turbo,65,16,0.24615384615384617
